Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17072026,1706432445,0003099
Trade Date <17-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,408,ARVIND,EQ,203588,98111,48.19
20,409,ARVINDFASN,EQ,90719,57273,63.13
20,410,ARVINDPORT,ST,18000,16500,91.67
20,411,ARVSMART,EQ,17432,10015,57.45
20,412,ASAHIINDIA,EQ,91234,53245,58.36
20,413,ASAHISONG,EQ,7714,5030,65.21
20,414,ASAL,EQ,24188,15369,63.54
20,415,ASALCBR,EQ,21232,10590,49.88
20,416,ASCOM,ST,500,500,100.00
20,417,ASHALOG,SM,2000,1000,50.00
20,418,ASHAPURMIN,EQ,167595,83282,49.69
20,419,ASHIANA,EQ,20071,14024,69.87
20,420,ASHIKA,EQ,245414,129672,52.84
20,421,ASHIMASYN,EQ,66267,50607,76.37
20,422,ASHOKA,EQ,605577,336737,55.61
20,423,ASHOKAMET,EQ,10042,7566,75.34
20,424,ASHOKLEY,EQ,10055243,4369858,43.46
20,425,ASHWINI,SM,6000,6000,100.00
20,426,ASIANENE,EQ,156736,81291,51.86
20,427,ASIANHOTNR,EQ,18334,9527,51.96
20,428,ASIANPAINT,EQ,452284,228866,50.60
20,429,ASIANTILES,EQ,841402,350236,41.63
20,430,ASKAUTOLTD,EQ,118821,57452,48.35
20,431,ASPINWALL,EQ,4227,3351,79.28
20,432,ASPIRE,SM,8000,4000,50.00
20,433,ASTAR,EQ,195,100,51.28
20,434,ASTEC,EQ,32594,10496,32.20
20,435,ASTERDM,EQ,534608,363152,67.93
20,436,ASTRAL,EQ,624569,353396,56.58
20,437,ASTRAMICRO,EQ,272683,120421,44.16
20,438,ASTRAZEN,EQ,8914,4427,49.66
20,439,ATALREAL,EQ,8350286,2638907,31.60
20,440,ATAM,EQ,11114,9289,83.58
20,441,ATGL,EQ,1178598,320066,27.16
20,442,ATHERENERG,EQ,4135957,1449277,35.04
20,443,ATL,EQ,72112,43874,60.84
20,444,ATLANTAA,EQ,15174,10975,72.33
20,445,ATLANTAELE,EQ,98638,45859,46.49
20,446,ATLASCYCLE,EQ,1551,957,61.70
20,447,ATLPP,E1,103,103,100.00
20,448,ATMASTCO,ST,11200,10000,89.29
20,449,ATUL,EQ,49787,32692,65.66
20,450,ATULAUTO,EQ,61193,32424,52.99
20,451,AUBANK,EQ,748829,383846,51.26
20,452,AURIONPRO,EQ,59095,24740,41.86
20,453,AUROIMPEX,SM,3200,3200,100.00
20,454,AUROPHARMA,EQ,518043,260728,50.33
20,455,AURUM,EQ,332421,140792,42.35
20,456,AURUS,EQ,32534,23507,72.25
20,457,AUTOAXLES,EQ,6509,4078,62.65
20,458,AUTOBEES,EQ,185792,124198,66.85
20,459,AUTOIETF,EQ,650824,418472,64.30
20,460,AVALON,EQ,193820,111462,57.51
20,461,AVANA,ST,46000,44000,95.65
20,462,AVANTEL,EQ,1491411,604569,40.54
20,463,AVANTIFEED,EQ,1006891,384118,38.15
20,464,AVIANSH,SM,5000,3000,60.00
20,465,AVIENCE,SM,567000,309600,54.60
20,466,AVL,EQ,242523,200368,82.62
20,467,AVONMORE,EQ,191237,98227,51.36
20,468,AVPINFRA,SM,45600,28000,61.40
20,469,AVROIND,EQ,75993,41132,54.13
